datetime,open,high,low,close,volume
2026-04-23 15:30:00,339.08,339.3126,339.08,339.27,0
2026-04-23 15:31:00,339.195,339.24,339.09,339.225,13428
2026-04-23 15:32:00,339.2,339.32,339.06,339.32,23883
2026-04-23 15:33:00,339.31,339.33,339.0,339.01,24017
2026-04-23 15:34:00,339.01,339.07,338.913,338.96,15705
2026-04-23 15:35:00,338.9,338.9,338.7,338.7,13951
2026-04-23 15:36:00,338.66,338.74,338.575,338.685,22968
2026-04-23 15:37:00,338.6599,338.665,338.485,338.485,15033
2026-04-23 15:38:00,338.4701,338.54,338.435,338.455,20477
2026-04-23 15:39:00,338.4487,338.4487,338.2,338.31,33047
2026-04-23 15:40:00,338.285,338.31,338.18,338.2185,21579
2026-04-23 15:41:00,338.22,338.44,338.22,338.35,21624
2026-04-23 15:42:00,338.38,338.38,338.1781,338.18,9449
2026-04-23 15:43:00,338.23,338.375,338.22,338.26,13660
2026-04-23 15:44:00,338.24,338.3499,338.16,338.245,21573
2026-04-23 15:45:00,338.24,338.24,338.0,338.09,20204
2026-04-23 15:46:00,338.07,338.12,337.97,338.12,20599
2026-04-23 15:47:00,338.15,338.405,338.12,338.36,20025
2026-04-23 15:48:00,338.3201,338.494,338.31,338.42,13715
2026-04-23 15:49:00,338.36,338.4,338.3,338.31,9402
2026-04-23 15:50:00,338.27,338.28,338.125,338.15,20482
2026-04-23 15:51:00,338.16,338.22,337.92,337.96,22885
2026-04-23 15:52:00,337.96,338.005,337.9,337.95,14433
2026-04-23 15:53:00,337.93,338.0099,337.87,337.94,10830
2026-04-23 15:54:00,337.91,337.96,337.8,337.84,11820
2026-04-23 15:55:00,337.87,338.2,337.87,338.0501,18947
2026-04-23 15:56:00,338.085,338.2499,338.085,338.21,13653
2026-04-23 15:57:00,338.18,338.26,338.03,338.03,32602
2026-04-23 15:58:00,338.09,338.1,337.97,338.1,22402
2026-04-23 15:59:00,338.15,338.36,338.15,338.32,15647
2026-04-23 16:00:00,338.27,338.605,338.27,338.57,28291
2026-04-23 16:01:00,338.66,338.7,338.57,338.585,13574
2026-04-23 16:02:00,338.57,338.62,338.505,338.52,13639
2026-04-23 16:03:00,338.49,338.53,338.41,338.46,18340
2026-04-23 16:04:00,338.434,338.46,338.32,338.37,23242
2026-04-23 16:05:00,338.36,338.5499,338.33,338.5,50455
2026-04-23 16:06:00,338.39,338.51,338.36,338.4799,12147
2026-04-23 16:07:00,338.48,338.4821,338.36,338.44,20753
2026-04-23 16:08:00,338.43,338.47,338.36,338.387,12355
2026-04-23 16:09:00,338.36,338.395,338.155,338.38,48342
2026-04-23 16:10:00,338.4,338.5224,338.38,338.49,7484
2026-04-23 16:11:00,338.53,338.55,338.445,338.525,13709
2026-04-23 16:12:00,338.53,338.73,338.53,338.71,9696
2026-04-23 16:13:00,338.705,338.93,338.66,338.93,10846
2026-04-23 16:14:00,338.91,338.93,338.83,338.9,6595
2026-04-23 16:15:00,338.91,338.97,338.7475,338.7661,19067
2026-04-23 16:16:00,338.74,338.915,338.73,338.85,11037
2026-04-23 16:17:00,338.815,338.82,338.695,338.79,14598
2026-04-23 16:18:00,338.77,338.85,338.77,338.78,6161
2026-04-23 16:19:00,338.77,338.78,338.71,338.78,9079
2026-04-23 16:20:00,338.76,338.835,338.57,338.59,17350
2026-04-23 16:21:00,338.61,338.61,338.47,338.57,6949
2026-04-23 16:22:00,338.525,338.62,338.38,338.5,16828
2026-04-23 16:23:00,338.5101,338.64,338.5101,338.63,12229
2026-04-23 16:24:00,338.635,338.77,338.6,338.765,6198
2026-04-23 16:25:00,338.79,338.9,338.775,338.9,20665
2026-04-23 16:26:00,338.905,338.99,338.86,338.91,15897
2026-04-23 16:27:00,339.0,339.07,338.96,339.06,14336
2026-04-23 16:28:00,339.07,339.07,338.915,338.99,11833
2026-04-23 16:29:00,338.995,339.12,338.995,339.025,10074
2026-04-23 16:30:00,339.0,339.015,338.935,338.9501,13853
2026-04-23 16:31:00,339.01,339.01,338.88,338.9194,12187
2026-04-23 16:32:00,338.91,338.9696,338.85,338.9,12382
2026-04-23 16:33:00,338.97,338.97,338.92,338.94,3230
2026-04-23 16:34:00,338.915,338.9845,338.8707,338.93,7266
